title,description,assigned_to,priority
"Login button not working","User cannot click the login button on the homepage. It appears grayed out.","frontend_team","high"
"Database connection timeout","The application throws a timeout error when connecting to the database during peak hours.","backend_team","medium"
"UI alignment issue","The text in the navigation bar is misaligned on mobile devices.","frontend_team","low"
"API endpoint returning 500","The /api/users endpoint is returning a 500 internal server error intermittently.","backend_team","high"
"Memory leak in image processing","The image processing module is causing memory leaks after multiple uploads.","backend_team","medium"
"CSS styling broken","The CSS styles are not loading properly in Firefox browser.","frontend_team","low"
"Authentication failure","Users are unable to authenticate using OAuth providers.","backend_team","high"
"Responsive design fix","The website layout breaks on tablets with screen width between 768px and 1024px.","frontend_team","medium"
"Performance optimization","The page load time is over 5 seconds on average.","backend_team","medium"
"Broken link in footer","The contact link in the footer redirects to a 404 page.","frontend_team","low"
"Data validation error","Form submissions are accepted even with invalid email formats.","backend_team","high"
"Search functionality slow","The search feature takes more than 10 seconds to return results.","backend_team","medium"
"Color contrast issue","Text color does not meet accessibility standards for color contrast.","frontend_team","low"
"Session timeout","User sessions expire too quickly, causing frequent logouts.","backend_team","medium"
"Image upload failure","Users cannot upload images larger than 2MB.","frontend_team","medium"
"API rate limiting","The API is not properly rate limiting requests, leading to abuse.","backend_team","high"
"Mobile app crash","The mobile app crashes when users try to access the settings page.","mobile_team","high"
"Push notification delay","Push notifications are delayed by several minutes.","mobile_team","medium"
"App store rejection","The app was rejected from the app store due to guideline violations.","mobile_team","high"
"Offline mode not working","The app does not function properly in offline mode.","mobile_team","medium"
"GPS location inaccurate","The GPS location tracking is inaccurate on Android devices.","mobile_team","low"
"Payment gateway error","Payments are failing with error code 400 from the gateway.","backend_team","high"
"Email notification not sent","Users are not receiving email notifications for account activities.","backend_team","medium"
"File download corrupted","Downloaded files are corrupted and cannot be opened.","backend_team","low"
